0,1,83,418,171,553,0.86
0,2,333,355,393,506,0.86
0,3,520,167,584,291,0.85
0,4,234,266,287,403,0.84
0,5,364,262,417,389,0.83
0,6,845,351,902,506,0.82
0,7,725,342,798,465,0.81
0,8,745,215,786,347,0.79
0,9,764,168,823,276,0.62
1,1,85,418,173,554,0.87
1,2,332,354,393,506,0.86
1,3,522,164,587,290,0.86
1,4,237,262,291,403,0.83
1,5,364,261,419,392,0.84
1,6,845,350,902,505,0.82
1,7,728,342,802,466,0.80
1,8,744,215,786,350,0.67
1,9,756,172,819,285,0.61
2,1,86,418,174,554,0.87
2,2,332,355,393,506,0.86
2,3,525,162,589,288,0.87
2,4,239,260,293,403,0.84
2,5,364,259,421,397,0.82
2,6,846,351,903,503,0.79
2,7,731,341,805,465,0.81
2,8,742,214,784,348,0.75
3,1,87,418,176,555,0.87
3,2,333,355,393,506,0.86
3,3,528,161,592,287,0.87
3,4,242,257,297,402,0.83
3,5,366,258,421,392,0.83
3,6,841,350,897,501,0.80
3,7,735,342,807,463,0.80
3,8,741,214,784,348,0.75
4,1,88,419,177,555,0.86
4,2,333,356,394,506,0.85
4,3,531,160,596,287,0.85
4,4,245,254,301,400,0.86
4,5,367,257,423,392,0.82
4,6,841,348,898,499,0.87
4,7,738,341,810,462,0.81
4,8,741,213,786,349,0.72
5,1,89,420,179,556,0.85
5,2,335,355,396,506,0.85
5,3,534,161,598,286,0.85
5,4,247,252,304,400,0.86
5,5,369,256,425,392,0.81
5,6,842,347,899,496,0.86
5,7,739,339,812,459,0.79
5,8,741,213,788,350,0.74
6,1,91,421,180,557,0.84
6,2,337,355,399,508,0.86
6,3,536,161,599,286,0.86
6,4,250,249,308,396,0.84
6,5,371,255,427,392,0.79
6,6,842,346,900,495,0.88
6,7,741,336,813,456,0.81
6,8,740,211,789,350,0.75
7,1,91,422,181,558,0.82
7,2,338,355,400,507,0.86
7,3,539,164,601,288,0.88
7,4,254,249,310,388,0.82
7,5,372,253,430,396,0.77
7,6,843,347,902,495,0.87
7,7,742,334,815,457,0.79
7,8,739,212,789,350,0.78
8,1,92,422,182,559,0.85
8,2,338,355,400,507,0.84
8,3,543,165,606,288,0.83
8,4,258,248,313,383,0.79
8,5,373,251,432,399,0.71
8,6,843,350,902,497,0.87
8,7,739,333,814,459,0.74
8,8,737,212,790,352,0.79
9,1,92,422,183,561,0.85
9,2,336,355,399,507,0.86
9,3,544,163,607,288,0.81
9,4,263,247,318,381,0.82
9,5,374,250,433,402,0.74
9,6,844,353,903,498,0.84
9,7,735,330,812,461,0.68
9,8,737,212,790,353,0.76
10,1,92,423,183,562,0.86
10,2,335,356,397,506,0.86
10,3,546,165,610,291,0.83
10,4,270,246,325,379,0.81
10,5,377,248,436,402,0.77
10,6,841,358,901,498,0.80
10,7,732,328,809,462,0.73
10,8,732,213,784,353,0.74
11,1,91,423,183,563,0.86
11,2,333,356,396,506,0.86
11,3,548,166,612,293,0.83
11,4,276,245,332,381,0.80
11,5,379,248,437,402,0.77
11,6,839,361,901,497,0.86
11,7,730,327,806,462,0.75
11,8,729,213,780,353,0.67
12,1,91,424,183,565,0.86
12,2,332,357,395,507,0.86
12,3,550,167,613,293,0.84
12,4,279,243,337,382,0.68
12,5,381,247,438,402,0.75
12,6,838,361,901,495,0.88
12,7,728,326,803,462,0.69
12,8,727,213,777,352,0.73
13,1,91,425,184,566,0.86
13,2,331,357,394,507,0.85
13,3,550,167,614,294,0.84
13,4,284,241,342,381,0.75
13,5,382,247,438,401,0.77
